Faculty_Name,Department,Publications_2023,Citations,H_Index,Research_Area
Prof. A. Kumar,CSE,15,450,18,Machine Learning
Prof. B. Singh,EE,12,380,16,Power Systems
Prof. C. Sharma,ME,8,220,12,Thermal Engineering
Prof. D. Patel,CSE,18,520,21,AI/NLP
Prof. E. Verma,Chemical,10,290,14,Process Engineering
Prof. F. Gupta,Physics,14,410,17,Quantum Physics
Prof. G. Reddy,Mathematics,9,180,11,Applied Mathematics
Prof. H. Joshi,Chemistry,11,340,15,Organic Chemistry
Prof. I. Mehta,Aerospace,7,165,10,Aerodynamics
Prof. J. Rao,Civil,13,395,16,Structural Engineering
